で手を乾かすハンドドライヤーがあります。大きい会社で作る経団連は今年５月、新しいコロナウイルスがうつらないようにするため、ハンドドライヤーを使わないようにしようと決めまし	駅やショッピングセンターのトイレにある温風で手を乾かすハンドドライヤーについて、経団連は「使用しないこと」としていたガイドラインを専門家の意見や海外の状況を踏まえ、見直すことにしています。	1
選挙では、与党の議員が今までのように半分より多くなるのか、野党の議員が多くなって政治の進め方を変えるのかが注目されています	今回の選挙は、与党が過半数の議席を確保して、連立政権を継続するのか、野党が勢力を伸ばして、政権交代を実現するのかが最大の焦点となります。	1
日本でこの治療の薬を売る会社は11日、症状がない人に「抗体カクテル療法」を使った外国でのテストの結果を発表しました。ウイルスがうつっても症状	2種類の抗体を同時に点滴で投与する抗体カクテル療法は、軽症から中等症の患者で、かつ重症化リスクがある人が対象で、今月5日までに全国で合わせて約3万5000人が投与を受けたと見られています。	1
書類をカメラで撮って、アプリに登録します。コロナウイルスがうつっていない証明など、ほかに必要なものも登録しておきます	通常、日本からの渡航の際は4種類の書類が必要で、航空会社の地上スタッフがそれぞれの書類をチェックして渡航の可否を判断していますが、日本航空によりますと、このアプリを使えば入国条件を満たしているかを人工知能で判定するため、手続きの時間が大幅に短縮されるということです。	1
趣味がない人と比べて、趣味が2つの人は亡くなる危険が10％低く、5つの人は31％低くなりました。趣味が多くなると、長く生きる可能性が高くなることがわかり	その結果、年齢や性別、基礎疾患などの影響を調整した「死亡リスク」は、趣味が0個と答えた人と比べて、趣味が2個と答えた人では10%、趣味が5個と答えた人では31%低くなるなど、趣味の数が多い人ほど死亡のリスクが低い結果になったとしています。	1
が見つかりました。フランスでは、このウイルスがうつる力の強さや、病気が重くなる可能性、どのくらいウイルスが広がっているか	保健当局は、この変異ウイルスの感染力の強さや重症化のリスク、それにどのくらい感染が広がっているかについて、詳しい調査を始めています。	1
ミャンマーの水泳の選手のウィン・テット・ウーさんが、東京オリンピックに出ないと言いました。ウィン・テット・ウーさんは「軍のクーデターに反対する人が、軍の銃でたくさん亡くなりました	軍による弾圧で700人を超える市民が犠牲となっているミャンマー情勢をめぐり、東京オリンピックを目指してきた競泳の選手が、抗議の意志を示すため、現体制のもとでは東京大会に参加しないことを表明しました。	1
に見せます。式の様子は、ノーベル賞のウェブサイトでオンラインで見せます。日本の時間では１１日午前０	式典の映像は日本時間の11日午前零時半から、平和賞と同じようにノーベル賞の公式サイトなどで配信されるということです。	1
国は、日本語学校に入る予定の外国人が留学をやめないようにしたいと考えています。このため、外国にいて	政府は今月8日から留学生を含む外国人の新規入国を一定の条件をもとで緩和しましたが、1日に入国できる人数は引き続き制限されているため、いまだに多くの留学生が入国困難な状況が続いています。	1
名前や国籍、ワクチンを注射した日などが書いてあって、住んでいる市や町などの役所でもらうことができます	イタリアやオーストリアなど海外の一部の国では、入国時にワクチンの接種証明書を提示すると、検査や隔離措置が免除されることなどがあり、政府は、26日から住民票がある市区町村で申請の受け付けを始めました。	1
ます。会社は今年の終わりまでにはこのサービスを有料で始める計画で、荷物を運ぶ会社などに使ってもらいたいと考えて	会社では運送会社を対象に、年内にも有料でこのサービスの提供を始めることにしています。	1
ならないという意味なのか、ほかの人にウイルスが広がらないという意味なのか、もっと情報が必要です」と話しています。日本の政府は、来年６月までに６０００万人が受ける量のワクチンを、	新型コロナウイルスワクチンの配布のスケールは巨大で、これまでにない官民のパートナーシップが必要だ」と述べ、民間企業のノウハウを活用した協力態勢の強化が欠かせないという考えを示しました。	1
